page_id,category,subcategory,gt_rel,html_rel,clean_rel,digital_rel,real_rel,real_chain_label,real_chain_cn,paper_condition,lighting_condition,capture_method,page_info_image_path,page_info_matches_expected
01_academic/01_journal_paper/academic_paper_001_JACS_催化反应动力学,01_academic,01_journal_paper,01_academic/01_journal_paper/academic_paper_001_JACS_催化反应动力学.json,01_academic/01_journal_paper/academic_paper_001_JACS_催化反应动力学.html,01_academic/01_journal_paper/academic_paper_001_JACS_催化反应动力学.png,01_academic/01_journal_paper/academic_paper_001_JACS_催化反应动力学.png,01_academic/01_journal_paper/academic_paper_001_JACS_催化反应动力学__real_screen_na_screen_screen.png,screen_photography,拍屏,无(屏幕显示),屏幕背光+室内光,手机对屏幕,01_academic/01_journal_paper/academic_paper_001_JACS_催化反应动力学.png,true
01_academic/02_thesis/thesis_001_硕士论文_深度强化学习,01_academic,02_thesis,01_academic/02_thesis/thesis_001_硕士论文_深度强化学习.json,01_academic/02_thesis/thesis_001_硕士论文_深度强化学习.html,01_academic/02_thesis/thesis_001_硕士论文_深度强化学习.png,01_academic/02_thesis/thesis_001_硕士论文_深度强化学习.png,01_academic/02_thesis/thesis_001_硕士论文_深度强化学习__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,01_academic/02_thesis/thesis_001_硕士论文_深度强化学习.png,true
01_academic/03_technical_report/technical_report_001_新能源行业分析报告,01_academic,03_technical_report,01_academic/03_technical_report/technical_report_001_新能源行业分析报告.json,01_academic/03_technical_report/technical_report_001_新能源行业分析报告.html,01_academic/03_technical_report/technical_report_001_新能源行业分析报告.png,01_academic/03_technical_report/technical_report_001_新能源行业分析报告.png,01_academic/03_technical_report/technical_report_001_新能源行业分析报告__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,01_academic/03_technical_report/technical_report_001_新能源行业分析报告.png,true
01_academic/04_patent/patent_001_发明专利_权利要求书,01_academic,04_patent,01_academic/04_patent/patent_001_发明专利_权利要求书.json,01_academic/04_patent/patent_001_发明专利_权利要求书.html,01_academic/04_patent/patent_001_发明专利_权利要求书.png,01_academic/04_patent/patent_001_发明专利_权利要求书.png,01_academic/04_patent/patent_001_发明专利_权利要求书__real_screenshot_na_na_na.png,screenshot_compressed,截图+转发压缩,无(纯数字),无,无,01_academic/04_patent/patent_001_发明专利_权利要求书.png,true
01_academic/05_research_proposal/research_proposal_001_国家自然科学基金面上项目申请书,01_academic,05_research_proposal,01_academic/05_research_proposal/research_proposal_001_国家自然科学基金面上项目申请书.json,01_academic/05_research_proposal/research_proposal_001_国家自然科学基金面上项目申请书.html,01_academic/05_research_proposal/research_proposal_001_国家自然科学基金面上项目申请书.png,01_academic/05_research_proposal/research_proposal_001_国家自然科学基金面上项目申请书.png,01_academic/05_research_proposal/research_proposal_001_国家自然科学基金面上项目申请书__real_phone_photocopy_photocopy_normal_top.jpg,phone_photocopy,手机拍复印件,复印件,室内正常光,俯拍,01_academic/05_research_proposal/research_proposal_001_国家自然科学基金面上项目申请书.png,true
01_academic/06_conference_poster/conference_poster_001_CVPR_目标检测,01_academic,06_conference_poster,01_academic/06_conference_poster/conference_poster_001_CVPR_目标检测.json,01_academic/06_conference_poster/conference_poster_001_CVPR_目标检测.html,01_academic/06_conference_poster/conference_poster_001_CVPR_目标检测.png,01_academic/06_conference_poster/conference_poster_001_CVPR_目标检测.png,01_academic/06_conference_poster/conference_poster_001_CVPR_目标检测__real_phone_flat_normal_oblique.png,phone_flat_indoor_normal_oblique,手机拍纸质文档,平整,室内正常光,斜拍(30-45度),01_academic/06_conference_poster/conference_poster_001_CVPR_目标检测.png,true
02_education/01_textbook/textbook_001_线性代数,02_education,01_textbook,02_education/01_textbook/textbook_001_线性代数.json,02_education/01_textbook/textbook_001_线性代数.html,02_education/01_textbook/textbook_001_线性代数.png,02_education/01_textbook/textbook_001_线性代数.png,02_education/01_textbook/textbook_001_线性代数__real_phone_bent_normal_top.jpg,phone_bent_indoor_normal_top,手机拍纸质文档,弯折(不压平),室内正常光,俯拍,02_education/01_textbook/textbook_001_线性代数.png,true
02_education/02_exam_paper/exam_paper_001_高考理综物理,02_education,02_exam_paper,02_education/02_exam_paper/exam_paper_001_高考理综物理.json,02_education/02_exam_paper/exam_paper_001_高考理综物理.html,02_education/02_exam_paper/exam_paper_001_高考理综物理.png,02_education/02_exam_paper/exam_paper_001_高考理综物理.png,02_education/02_exam_paper/exam_paper_001_高考理综物理__real_phone_creased_normal_top.jpg,phone_creased_indoor_normal_top,手机拍纸质文档,折痕/褶皱,室内正常光,俯拍,02_education/02_exam_paper/exam_paper_001_高考理综物理.png,true
02_education/03_slides/slides_001_机器学习导论,02_education,03_slides,02_education/03_slides/slides_001_机器学习导论.json,02_education/03_slides/slides_001_机器学习导论.html,02_education/03_slides/slides_001_机器学习导论.png,02_education/03_slides/slides_001_机器学习导论.png,02_education/03_slides/slides_001_机器学习导论__real_screen_na_screen_screen.png,screen_photography,拍屏,无(屏幕显示),屏幕背光+室内光,手机对屏幕,02_education/03_slides/slides_001_机器学习导论.png,true
02_education/04_school_notice/school_notice_001_期末考试安排通知,02_education,04_school_notice,02_education/04_school_notice/school_notice_001_期末考试安排通知.json,02_education/04_school_notice/school_notice_001_期末考试安排通知.html,02_education/04_school_notice/school_notice_001_期末考试安排通知.png,02_education/04_school_notice/school_notice_001_期末考试安排通知.png,02_education/04_school_notice/school_notice_001_期末考试安排通知__real_screen_na_screen_screen.jpg,screen_photography,拍屏,无(屏幕显示),屏幕背光+室内光,手机对屏幕,02_education/04_school_notice/school_notice_001_期末考试安排通知.png,true
